Model,lr,dropout,fc1,fc2,val_acc,val_f1,test_acc,test_f1
CNN5,0.0001,0.2,256,128,0.6816271963330787,0.6805127718775975,0.6900305576776165,0.688056721900832
CNN5,0.001,0.2,128,64,0.6270053475935828,0.6327007467111884,0.6312070282658518,0.6357755559695842
CNN,0.001,0.2,256,128,0.805,0.8046,0.7328113063407181,0.7179292530223602
CNN,0.001,0.2,256,128,0.7164,0.7007,0.8177998472116119,0.8178704221423146
