model_index,model_name,epoch,lr,dropout,fc1,fc2,train_loss,val_loss,train_acc,val_acc,val_f1
0,CNN3,1,0.01,0.2,128,64,2.1277670003276903,2.1244568941336355,0.23741007194244604,0.2494270435446906,0.1551628063009027
0,CNN3,2,0.01,0.2,128,64,2.055621470440851,2.0344904407096145,0.26039345514738654,0.2685255920550038,0.21194156238818843
0,CNN3,3,0.01,0.2,128,64,2.021704782092944,1.9383334618110162,0.27108932323168017,0.30958747135217723,0.22796687682663552
0,CNN3,4,0.01,0.2,128,64,1.9720879237914575,1.919364647978221,0.2933723817406252,0.30710466004583653,0.23430104987207936
0,CNN3,5,0.01,0.2,128,64,1.9371859852829145,1.8620961542981922,0.30788820271216655,0.3462566844919786,0.2974289223136488
0,CNN3,6,0.01,0.2,128,64,1.9023414938577516,1.83611750438798,0.3282612847774877,0.35408708938120703,0.2814548216828126
0,CNN3,7,0.01,0.2,128,64,1.8558249251652912,1.7717986757105046,0.34220411281594193,0.38235294117647056,0.3041556935243754
0,CNN3,8,0.01,0.2,128,64,1.8091893311163756,1.7379059394504206,0.3574839243649328,0.38789152024446144,0.3302481960892216
0,CNN3,9,0.01,0.2,128,64,1.7514201105153255,1.5991642424129546,0.3753103711720889,0.43659281894576013,0.3837476986380381
0,CNN3,10,0.01,0.2,128,64,1.7003289715613963,1.6430132736952092,0.3903991850767174,0.42188693659281895,0.3440729273826697
1,CNN5,1,0.01,0.2,128,64,2.1701063004761654,2.118263715910857,0.21455402050041383,0.23834988540870894,0.1352657705731977
1,CNN5,2,0.01,0.2,128,64,2.1360686526168284,2.1043466019029378,0.23976570955624882,0.24866310160427807,0.15862593900646038
1,CNN5,3,0.01,0.2,128,64,2.073238679041662,2.0826606276929605,0.26217609982810214,0.2660427807486631,0.17372771995582326
1,CNN5,4,0.01,0.2,128,64,2.0006313797032163,1.9203156763765992,0.29299038645190045,0.3141711229946524,0.20819716432588453
1,CNN5,5,0.01,0.2,128,64,1.91154810080228,1.7999120968001958,0.3120901508881391,0.36440030557677616,0.30765328493569555
1,CNN5,6,0.01,0.2,128,64,1.8217590816791913,1.889973763385012,0.3509263385751576,0.3374713521772345,0.2802982589813521
1,CNN5,7,0.01,0.2,128,64,1.763650063783198,1.8293651525440608,0.37639269115680907,0.3519862490450726,0.29764773137154693
1,CNN5,8,0.01,0.2,128,64,1.6926973859987715,1.5977510253922278,0.39969440376902016,0.42589763177998474,0.36207168186574246
1,CNN5,9,0.01,0.2,128,64,1.6442178099571485,1.7400210202423283,0.41624753294709366,0.3804430863254393,0.3302310504573979
1,CNN5,10,0.01,0.2,128,64,1.5941291198835508,1.4726662639445982,0.43553829502769464,0.47536287242169595,0.40096944470756246
2,CNN3,1,0.01,0.2,128,128,2.1356454720250926,2.0870604994098496,0.23696441077226715,0.25439266615737205,0.16414024086597295
2,CNN3,2,0.01,0.2,128,128,2.069486487251027,2.0291437002608936,0.2535812058317947,0.26737967914438504,0.17176753066955916
2,CNN3,3,0.01,0.2,128,128,2.0273719870354268,1.948049526163601,0.2637040809830012,0.29430863254392664,0.2136454875297454
2,CNN3,4,0.01,0.2,128,128,1.9815396071163407,2.2037821994472586,0.28617813713630863,0.2635599694423224,0.21696464666471857
2,CNN3,5,0.01,0.2,128,128,1.9216260238964886,1.8387159387786667,0.31406379321321704,0.36917494270435447,0.3092136936854001
2,CNN3,6,0.01,0.2,128,128,1.8519936185779597,1.7485511377624559,0.3464697268733686,0.3907563025210084,0.31224876443657695
2,CNN3,7,0.01,0.2,128,128,1.7561072414332863,1.658413863254923,0.3772840134971669,0.413292589763178,0.3773832734282113
2,CNN3,8,0.01,0.2,128,128,1.6721888706140244,1.5730535770937903,0.40300502960463486,0.43334606569900685,0.35815827132999967
2,CNN3,9,0.01,0.2,128,128,1.6128445645220193,1.57308176776851,0.42821671866046984,0.4499618029029794,0.39265532478278736
2,CNN3,10,0.01,0.2,128,128,1.5721130277134943,1.4225518424789627,0.4387215891004011,0.4957983193277311,0.44871325576268734
3,CNN5,1,0.01,0.2,128,128,2.1820068192708164,2.1360523183442326,0.21379002992296428,0.22478991596638656,0.14326059911422584
3,CNN5,2,0.01,0.2,128,128,2.149706351868616,2.09397869751233,0.22626854268797353,0.23567608861726508,0.1531123581353898
3,CNN5,3,0.01,0.2,128,128,2.12436223558324,2.10100856712522,0.2381740625198956,0.2532467532467532,0.16191907055244434
3,CNN5,4,0.01,0.2,128,128,2.107124552991166,2.057486080868359,0.24625962946456995,0.26757066462948814,0.17214697243049273
3,CNN5,5,0.01,0.2,128,128,2.0741024021887724,2.0504691928647873,0.2652957280193544,0.28113063407181055,0.18642423355963295
3,CNN5,6,0.01,0.2,128,128,2.039783101568491,1.987883667803794,0.2816578595530655,0.29736440030557676,0.1903548534512978
3,CNN5,7,0.01,0.2,128,128,2.0074706941419915,1.967186605593373,0.29324504997771694,0.30710466004583653,0.2014417009315528
3,CNN5,8,0.01,0.2,128,128,1.9751503268409643,1.948044314103968,0.3011396192780289,0.31321619556913677,0.20060421317582056
3,CNN5,9,0.01,0.2,128,128,1.9441212297829253,1.8697252694298239,0.3057872286241803,0.3384262796027502,0.24168045071374428
3,CNN5,10,0.01,0.2,128,128,1.8852486642136976,1.75148970567151,0.33023492710256575,0.377196333078686,0.3018582207353984
4,CNN3,1,0.01,0.2,256,64,2.143743584884179,2.1452345813477285,0.2381740625198956,0.237012987012987,0.1316769721253631
4,CNN3,2,0.01,0.2,256,64,2.089793585422516,2.053920517630756,0.25491818934233146,0.25763941940412527,0.16715626825196384
4,CNN3,3,0.01,0.2,256,64,2.039101037045913,1.9426629761869987,0.26803336092188196,0.2967914438502674,0.21980012700107562
4,CNN3,4,0.01,0.2,256,64,1.9926727701661815,1.9017096611267743,0.2829311771821481,0.3407181054239878,0.27448953502265544
4,CNN3,5,0.01,0.2,256,64,1.9304787652257398,1.7801439957913776,0.31266314382122623,0.3754774637127578,0.3077952409913184
4,CNN3,6,0.01,0.2,256,64,1.8371211468334785,1.7075495519557922,0.3487616986057172,0.3980137509549274,0.3474628531427098
4,CNN3,7,0.01,0.2,256,64,1.7572149207638004,1.6394710913243595,0.37550136881645124,0.4197860962566845,0.38119254397776675
4,CNN3,8,0.01,0.2,256,64,1.6975773797193383,1.6150334511575488,0.39721143439230916,0.4253246753246753,0.3766852764454131
4,CNN3,9,0.01,0.2,256,64,1.6413629585761438,1.5331374146357304,0.4167568599987267,0.46409472880061114,0.39503193768620687
4,CNN3,10,0.01,0.2,256,64,1.6088766627971391,1.7039912895358547,0.43159101037753866,0.4182582123758594,0.35549442976125806
5,CNN5,1,0.01,0.2,256,64,2.1654486105338373,2.094932747943607,0.22276691920799643,0.25687547746371275,0.15625840815043732
5,CNN5,2,0.01,0.2,256,64,2.107825915651181,2.034195493795746,0.25339020818743235,0.28666921313980137,0.18528495014827548
5,CNN5,3,0.01,0.2,256,64,2.0561732345120096,2.0187574909150463,0.27726491373273066,0.28170359052711996,0.19092797767832242
5,CNN5,4,0.01,0.2,256,64,2.0256874537630374,2.074285183725146,0.2813395301457949,0.237012987012987,0.18754020644695496
5,CNN5,5,0.01,0.2,256,64,1.9779898786693555,1.8591982380318406,0.29942064047876743,0.3651642475171887,0.2735504518812649
5,CNN5,6,0.01,0.2,256,64,1.9143955114956852,1.883152264597946,0.3292799388807538,0.33689839572192515,0.25614797052403127
5,CNN5,7,0.01,0.2,256,64,1.8654246911849557,1.7994903436228007,0.34513274336283184,0.37490450725744845,0.2925665361261243
5,CNN5,8,0.01,0.2,256,64,1.819870997675889,1.7138701047125073,0.35996689374164387,0.40756302521008403,0.33206262104862877
5,CNN5,9,0.01,0.2,256,64,1.7689228056571102,1.684472596217331,0.3856242439676577,0.3995416348357525,0.3409512546722009
5,CNN5,10,0.01,0.2,256,64,1.707880420263442,1.5622774935387946,0.3970841026294009,0.4476699770817418,0.37465988169175307
6,CNN3,1,0.01,0.2,256,128,2.1389962557491935,2.078896803014419,0.22989749793085884,0.2582123758594347,0.17015037115834272
6,CNN3,2,0.01,0.2,256,128,2.073573689658994,2.1116026333035904,0.25962946456993696,0.23834988540870894,0.16237063840959082
6,CNN3,3,0.01,0.2,256,128,2.0431695183282623,2.0511159365007767,0.2663143821226205,0.25515660809778457,0.174449849735806
6,CNN3,4,0.01,0.2,256,128,1.9950524072579698,1.9105736644692417,0.27892022665053795,0.3057677616501146,0.21088402881670298
6,CNN3,5,0.01,0.2,256,128,1.9158409312049627,1.7776148077000908,0.31629209906411154,0.36287242169595113,0.29971216756831587
6,CNN3,6,0.01,0.2,256,128,1.8052459309495306,1.9065967371119534,0.3562742726173044,0.34358288770053474,0.2731555689474575
6,CNN3,7,0.01,0.2,256,128,1.7202677481602673,1.5698223705962016,0.39052651683962564,0.43983957219251335,0.36503600320258384
6,CNN3,8,0.01,0.2,256,128,1.65640098904261,1.4991336917950053,0.41179092124530464,0.4791825821237586,0.4256511846606137
6,CNN3,9,0.01,0.2,256,128,1.6066714573188825,1.5482250554949568,0.42777105749029093,0.4476699770817418,0.3728879469832732
6,CNN3,10,0.01,0.2,256,128,1.537714386355181,1.4792135086926548,0.4597949958617177,0.46409472880061114,0.43397414230752307
7,CNN5,1,0.01,0.2,256,128,2.1780816946386676,2.1148340740305853,0.21595466989240467,0.25019098548510316,0.15920238786621663
7,CNN5,2,0.01,0.2,256,128,2.112305349818525,2.053026572177208,0.24963392118163877,0.2725362872421696,0.17133607078118432
7,CNN5,3,0.01,0.2,256,128,2.0699093672428823,2.020294371408939,0.27312663143821225,0.2839954163483575,0.1917555087966219
7,CNN5,4,0.01,0.2,256,128,2.0096855345420184,1.9574517039873838,0.2893614312090151,0.3113063407181054,0.22036031956843144
7,CNN5,5,0.01,0.2,256,128,1.9339297828254158,1.9363648915126908,0.31603743553829505,0.33212375859434684,0.23921075175087125
7,CNN5,6,0.01,0.2,256,128,1.867105156261036,1.8464624244261554,0.3401668046094098,0.3414820473644003,0.25388508776065444
7,CNN5,7,0.01,0.2,256,128,1.7656510703058377,2.1394041369578782,0.37371872413573565,0.3447288006111536,0.25858153076546314
7,CNN5,8,0.01,0.2,256,128,1.676393695113508,1.703323567159491,0.407525307187878,0.39056531703590525,0.3126904364097049
7,CNN5,9,0.01,0.2,256,128,1.6108321223471784,1.5350456873454421,0.4303813586299102,0.4514896867838044,0.38555844268488937
7,CNN5,10,0.01,0.2,256,128,1.5695229803892736,1.617943551997541,0.44222321258037817,0.4362108479755539,0.37924848194012384
8,CNN3,1,0.001,0.2,128,64,1.9741063851056992,2.6225603280675784,0.2949640287769784,0.24809014514896868,0.16719090505338363
8,CNN3,2,0.001,0.2,128,64,1.7326334620778927,1.791898273438147,0.37995798051824026,0.3758594346829641,0.3032817905929724
8,CNN3,3,0.001,0.2,128,64,1.6362567519279427,1.7394792993529504,0.41249124594130004,0.3955309396485867,0.31989834087493596
8,CNN3,4,0.001,0.2,128,64,1.5580134426468977,1.5117111849001659,0.44553383841599287,0.4715431627196333,0.4447055815200159
8,CNN3,5,0.001,0.2,128,64,1.5053475646959906,1.7152193112624703,0.4679442286878462,0.4337280366692131,0.36230408012557486
8,CNN3,6,0.001,0.2,128,64,1.4557355787127617,1.4263203505617321,0.48201438848920863,0.4877769289533995,0.44201133120478714
8,CNN3,7,0.001,0.2,128,64,1.4161658104671104,1.6157833286785186,0.49703953651238303,0.42188693659281895,0.4020782177441941
8,CNN3,8,0.001,0.2,128,64,1.3764148730631203,1.4654200149001375,0.5095817151588464,0.49618029029793737,0.4487169300952715
8,CNN3,9,0.001,0.2,128,64,1.3446610087067878,1.3598864420030388,0.5229515502642134,0.5118411000763942,0.49430037827538825
8,CNN3,10,0.001,0.2,128,64,1.2995818912425108,1.2632499112711324,0.5363213853695804,0.5595874713521772,0.5507573249525843
9,CNN5,1,0.001,0.2,128,64,1.9325998850157784,1.771612987798803,0.30413191570637294,0.3632543926661574,0.29472655182879265
9,CNN5,2,0.001,0.2,128,64,1.663044833405329,1.4983426966313829,0.4032596931304514,0.4749809014514897,0.4463880981774362
9,CNN5,3,0.001,0.2,128,64,1.4875145633967335,1.417347428450792,0.469344878079837,0.5147058823529411,0.4931083256450853
9,CNN5,4,0.001,0.2,128,64,1.3837699083441908,1.58987901700736,0.5083083975297638,0.4322001527883881,0.4167275901926195
